#FORMAT=WebAnno TSV 3.1
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=6 Braun an Gerhard Rom , November 1835 ein Felsst\u00FCck , auf dem Fu\u00DF ruht der Ellbogen .
1-1	0-1	6	CARD	6	_	_	
1-2	2-7	Braun	NN	Braun	*	PERauthor	
1-3	8-10	an	APPR	an	_	_	
1-4	11-18	Gerhard	NE	Gerhard	*	PERaddressee	
1-5	19-22	Rom	NE	Rom	*	PLACEfrom	
1-6	23-24	,	$,	,	*[4]	DATEletter[4]	
1-7	25-33	November	NN	November	*[4]	DATEletter[4]	
1-8	34-38	1835	CARD	@card@	*[4]	DATEletter[4]	
1-9	39-42	ein	ART	eine	_	_	
1-10	43-52	Felsstück	NN	Felsstück	_	_	
1-11	53-54	,	$,	,	_	_	
1-12	55-58	auf	APPR	auf	_	_	
1-13	59-62	dem	ART	die	_	_	
1-14	63-66	Fuß	NN	Fuß	_	_	
1-15	67-71	ruht	VVFIN	ruhen	_	_	
1-16	72-75	der	ART	die	_	_	
1-17	76-84	Ellbogen	NN	Ellbogen	_	_	
1-18	85-86	.	$.	.	_	_	

#Text=Links schlie\u00DFen sich 2 andre Frauenfiguren:an , von denen eine die andre f\u00FChrt .
2-1	87-92	Links	ADV	links	_	_	
2-2	93-102	schließen	VVFIN	schließen	_	_	
2-3	103-107	sich	PRF	sich	_	_	
2-4	108-109	2	CARD	2	_	_	
2-5	110-115	andre	VVFIN	<unknown>	_	_	
2-6	116-132	Frauenfiguren:an	NE	<unknown>	_	_	
2-7	133-134	,	$,	,	_	_	
2-8	135-138	von	APPR	von	_	_	
2-9	139-144	denen	PRELS	die	_	_	
2-10	145-149	eine	PIS	eine	_	_	
2-11	150-153	die	PRELS	die	_	_	
2-12	154-159	andre	ADV	<unknown>	_	_	
2-13	160-165	führt	VVFIN	führen	_	_	
2-14	166-167	.	$.	.	_	_	

#Text=Alle drei sind ohne K\u00F6pfe .
3-1	168-172	Alle	PIAT	alle	_	_	
3-2	173-177	drei	CARD	drei	_	_	
3-3	178-182	sind	VAFIN	sein	_	_	
3-4	183-187	ohne	APPR	ohne	_	_	
3-5	188-193	Köpfe	NN	Kopf	_	_	
3-6	194-195	.	$.	.	_	_	

#Text=Aus dieser Vertheilung der Darstellungen zieht Hr.
4-1	196-199	Aus	APPR	aus	_	_	
4-2	200-206	dieser	PDAT	dies	_	_	
4-3	207-218	Vertheilung	NN	<unknown>	_	_	
4-4	219-222	der	ART	die	_	_	
4-5	223-236	Darstellungen	NN	Darstellung	_	_	
4-6	237-242	zieht	VVFIN	zeihen[44]|ziehen[45]	_	_	
4-7	243-246	Hr.	NN	Hr.	_	_	

