#FORMAT=WebAnno TSV 3.1
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=10 nender zur Anschuung zu bringen .
1-1	0-2	10	CARD	10	_	_	
1-2	3-9	nender	NN	<unknown>	_	_	
1-3	10-13	zur	APPRART	zu	_	_	
1-4	14-23	Anschuung	NN	<unknown>	_	_	
1-5	24-26	zu	PTKZU	zu	_	_	
1-6	27-34	bringen	VVINF	bringen	_	_	
1-7	35-36	.	$.	.	_	_	

#Text=( Fortsetzung folgt . )
2-1	37-38	(	$(	(	_	_	
2-2	39-50	Fortsetzung	NN	Fortsetzung	_	_	
2-3	51-56	folgt	VVFIN	folgen	_	_	
2-4	57-58	.	$.	.	_	_	
2-5	59-60	)	$(	)	_	_	

#Text=Braun an Gerhard Rom , November 1835 Die Darstellung des erw\u00E4hnten Spiegels scheint der Nekromantie des Homer w\u00F6rtlich.\u00B7 entnommen .
3-1	61-66	Braun	NE	Braun	*	PERauthor	
3-2	67-69	an	APPR	an	_	_	
3-3	70-77	Gerhard	NE	Gerhard	*	PERaddressee	
3-4	78-81	Rom	NE	Rom	*	PLACEfrom	
3-5	82-83	,	$,	,	*[4]	DATEletter[4]	
3-6	84-92	November	NN	November	*[4]	DATEletter[4]	
3-7	93-97	1835	CARD	@card@	*[4]	DATEletter[4]	
3-8	98-101	Die	ART	die	_	_	
3-9	102-113	Darstellung	NN	Darstellung	_	_	
3-10	114-117	des	ART	die	_	_	
3-11	118-127	erwähnten	ADJA	erwähnt	_	_	
3-12	128-136	Spiegels	NN	Spiegel	*	OBJ	
3-13	137-144	scheint	VVFIN	scheinen	_	_	
3-14	145-148	der	ART	die	_	_	
3-15	149-160	Nekromantie	NN	<unknown>	_	_	
3-16	161-164	des	ART	die	_	_	
3-17	165-170	Homer	NN	<unknown>	*	PERmentioned	
3-18	171-181	wörtlich.·	ADJD	<unknown>	_	_	
3-19	182-191	entnommen	VVPP	entnehmen	_	_	
3-20	192-193	.	$.	.	_	_	

#Text=Odysseus , durch die Beischrift ythoxe ( V~ VI I E ) unverkennbar , hat sich auf einen Sessel niedergelassen , das entbl\u00F6\u00DFte Schwert in der Rechten und seine Scheide in der Linken haltend .
4-1	194-202	Odysseus	NE	Odysseus	*	PERmentioned	
4-2	203-204	,	$,	,	_	_	
4-3	205-210	durch	APPR	durch	_	_	
4-4	211-214	die	ART	die	_	_	
4-5	215-225	Beischrift	NN	<unknown>	_	_	
4-6	226-232	ythoxe	NN	<unknown>	_	_	
4-7	233-234	(	$(	(	_	_	
4-8	235-237	V~	NE	<unknown>	_	_	
4-9	238-240	VI	NE	<unknown>	_	_	
4-10	241-242	I	NE	I	_	_	
4-11	243-244	E	NN	E	_	_	
4-12	245-246	)	$(	)	_	_	
4-13	247-259	unverkennbar	ADJD	unverkennbar	_	_	
4-14	260-261	,	$,	,	_	_	
4-15	262-265	hat	VAFIN	haben	_	_	
4-16	266-270	sich	PRF	sich	_	_	
4-17	271-274	auf	APPR	auf	_	_	
4-18	275-280	einen	ART	eine	_	_	
4-19	281-287	Sessel	NN	Sessel	_	_	
4-20	288-302	niedergelassen	VVPP	niederlassen	_	_	
4-21	303-304	,	$,	,	_	_	
4-22	305-308	das	ART	die	_	_	
4-23	309-318	entblößte	ADJA	entblößt	_	_	
4-24	319-326	Schwert	NN	Schwert	_	_	
4-25	327-329	in	APPR	in	_	_	
4-26	330-333	der	ART	die	_	_	
4-27	334-341	Rechten	NN	Recht[59]|Rechte[60]	_	_	
4-28	342-345	und	KON	und	_	_	
4-29	346-351	seine	PPOSAT	sein	_	_	
4-30	352-359	Scheide	NN	Scheide	_	_	
4-31	360-362	in	APPR	in	_	_	
4-32	363-366	der	ART	die	_	_	
4-33	367-373	Linken	NN	Linke	_	_	
4-34	374-381	haltend	ADJD	haltend	_	_	
4-35	382-383	.	$.	.	_	_	

#Text=Hermes als psychopomp , ebenfalls durch Inschrift bezeichnet hat ihm einen Schatten zugef\u00FChrt , dem der Held von Ithaka mit ungetheilter Aufmerksamkeit entgegenlauscht , und dieser Schatten ist der des Tiresias wie eine dritte Inschrift in gleicher Weise lehrt .
